Iteration,RandomEffect,CLIPSelectedEffect,SelectionUplift
1,0.119080644807389,0.186786462287168,0.0677058174797793
2,0.0989048596358579,0.18832489458815,0.0894200349522922
3,0.0515263389984447,0.181515349041367,0.129989010042922
4,0.0887703666352687,0.105823520991204,0.0170531543559352
5,0.0708597182895254,0.142803235516296,0.0719435172267702
6,0.0462512683221733,0.120488845976296,0.074237577654123
7,0.132069792325095,0.126736009980125,-0.00533378234496992
8,0.0889308960003156,0.212268752614538,0.123337856614222
9,0.101712252855546,0.141909995885818,0.0401977430302728
10,0.111228216992446,0.140245933322366,0.0290177163299197
11,0.0796860824937966,0.189049432977535,0.109363350483739
12,0.0427865841651478,0.196259930813033,0.153473346647885
13,0.130840289085252,0.145186874361222,0.0143465852759701
14,0.102350141385633,0.105723403085853,0.00337326170022012
15,0.104429380023414,0.114296535497968,0.00986715547455332
16,0.0978098655730235,0.10207895302372,0.004269087450697
17,0.0854197481690242,0.145066330947996,0.0596465827789715
18,0.109150138970253,0.0931972583649413,-0.0159528806053122
19,0.161618796950047,0.101696635398068,-0.0599221615519798
20,0.108405408639385,0.163072283328948,0.0546668746895633
21,0.133957650547764,0.154145524216919,0.0201878736691556
22,0.0862086932395386,0.140457975683798,0.0542492824442595
23,0.0791873003684049,0.109788475413475,0.0306011750450706
24,0.144565835260254,0.155274842132255,0.010709006872001
25,0.055860079842638,0.174878542498505,0.119018462655867
26,0.174217038816582,0.181884500553811,0.0076674617372291
27,0.060893548453815,0.151907584206932,0.0910140357531169
28,0.0925539149334377,0.169499030411676,0.0769451154782385
29,0.0478089757511335,0.137065172398195,0.0892561966470619
30,0.147279924532832,0.145081332594588,-0.00219859193824334
31,0.117008764882652,0.170563760058723,0.0535549951760714
32,0.109882446365004,0.101323268454933,-0.00855917791007124
33,0.0559311379155321,0.171150318203421,0.115219180287889
34,0.115295436157947,0.142736685844099,0.0274412496861522
35,0.12715130043902,0.154990089543192,0.0278387891041717
36,0.104590851257157,0.108793806519629,0.00420295526247177
37,0.100815308171377,0.197109993218328,0.0962946850469509
38,0.0729837613443714,0.180038220219159,0.107054458874787
39,0.0805437845963863,0.146224778325601,0.0656809937292144
40,0.177033235350873,0.167989190240818,-0.00904404511005477
41,0.0577888158862761,0.121897191955332,0.0641083760690554
42,0.0623455033338754,0.166520363210094,0.104174859876218
43,0.083928216486356,0.147681079109182,0.0637528626228255
44,0.0995320775268339,0.129592834805895,0.030060757279061
45,0.0473899188430527,0.207266810112595,0.159876891269543
46,0.0750922739614842,0.14884644667947,0.0737541727179855
47,0.1341775069246,0.128958956410389,-0.00521855051421133
48,0.0720073999391923,0.173254935674246,0.101247535735054
49,0.0798780283181871,0.122180802393863,0.0423027740756754
50,0.0766413659369558,0.130715372026348,0.0540740060893918
